sequence,module,level,type,identifier,name,datatype,multiplicity,domain_name,definition,label_local,definition_local,element,id,semantic_path,associated_module,class_term
113,bus,5,C,,Contact_ Phone,,0..*,,Contact Phone Number,【担当者電話番号】,担当者の電話番号。,accountingEntriesEntityPartyAssignedAccountantContactPhone,BU24-10,$.Accounting Entries.Entity_ Party.Assigned_ Accountant.Accountant_ Contact.Contact_ Phone,bus,Contact_ Phone
114,bus,6,A,PK,Phone Number,String,0..1,,Phone number referred to in Phone Number Description'\.,電話番号,電話番号用途で示される電話番号。,accountingEntriesEntityPartyAssignedAccountantContactPhoneNumber,BU03-01,$.Accounting Entries.Entity_ Party.Assigned_ Accountant.Accountant_ Contact.Contact_ Phone.Phone Number,bus,Contact_ Phone
115,bus,6,A,,Phone Number Description,String,0..1,,"Entity Phone Number Description such as Main, Investor relations. Enumerated as: bookkeeper, controller, direct, fax, investor-relations, main, switchboard, other.",電話番号用途,"代表、IR用などの、電話番号の用途。
[設定値のリスト]
(bookkeeper：記帳係)、(controller：会計責任者)、(direct：直通)、(fax：FAX)、(investor-relations：IR窓口)、(main：代表)、(switchboard：交換台)、(other：その他)",accountingEntriesEntityPartyAssignedAccountantContactPhoneNumberDescription,BU03-02,$.Accounting Entries.Entity_ Party.Assigned_ Accountant.Accountant_ Contact.Contact_ Phone.Phone Number Description,bus,Contact_ Phone
116,bus,5,C,,Contact_ Fax,,0..*,,Contact Fax Number Class,【担当者FAX番号】,担当者のFAX番号の構造体。,accountingEntriesEntityPartyAssignedAccountantContactFax,BU24-11,$.Accounting Entries.Entity_ Party.Assigned_ Accountant.Accountant_ Contact.Contact_ Fax,bus,Contact_ Fax
117,bus,6,A,PK,Fax Number,String,0..1,,Fax Number,FAX番号,FAX番号。,accountingEntriesEntityPartyAssignedAccountantContactFaxNumber,BU08-01,$.Accounting Entries.Entity_ Party.Assigned_ Accountant.Accountant_ Contact.Contact_ Fax.Fax Number,bus,Contact_ Fax
118,bus,6,A,,Fax Number Usage,String,0..1,,"Fax number usage (e.g. orders, head office, IR)",FAX番号用途,FAX番号の用途。(注文、本社、IRなど),accountingEntriesEntityPartyAssignedAccountantContactFaxNumberUsage,BU08-02,$.Accounting Entries.Entity_ Party.Assigned_ Accountant.Accountant_ Contact.Contact_ Fax.Fax Number Usage,bus,Contact_ Fax
119,bus,5,C,,Contact_ Email,,0..*,,Contact E-mail address class,【担当者Eメールアドレス】,担当者のEメールアドレスの構造体。,accountingEntriesEntityPartyAssignedAccountantContactEmail,BU24-12,$.Accounting Entries.Entity_ Party.Assigned_ Accountant.Accountant_ Contact.Contact_ Email,bus,Contact_ Email
120,bus,6,A,PK,Email Address,String,0..1,,Email Address,Eメールアドレス,Eメールアドレス。,accountingEntriesEntityPartyAssignedAccountantContactEmailAddress,BU13-01,$.Accounting Entries.Entity_ Party.Assigned_ Accountant.Accountant_ Contact.Contact_ Email.Email Address,bus,Contact_ Email
121,bus,6,A,,Email Address Usage,String,0..1,,"Email address usage (e.g. orders, head office, IR)",Eメールアドレス用途,Eメールアドレスの用途。(注文、本社、IRなど),accountingEntriesEntityPartyAssignedAccountantContactEmailAddressUsage,BU13-02,$.Accounting Entries.Entity_ Party.Assigned_ Accountant.Accountant_ Contact.Contact_ Email.Email Address Usage,bus,Contact_ Email
122,bus,3,C,,Specified_ Reporting Calendar,,0..*,,A tool to collect the periods used to summarise results from transactions.,【報告カレンダー】,取引の結果をまとめるための期間を集めるもの。,accountingEntriesEntityPartySpecifiedReportingCalendar,CO14-17,$.Accounting Entries.Entity_ Party.Specified_ Reporting Calendar,bus,Reporting Calendar
123,bus,4,A,PK,Reporting Calendar Code,String,0..1,,"The code used to identify this specific reporting calendar, unique across periods",報告カレンダーコード,この報告カレンダーを識別するコード。複数期間にわたって一意。,accountingEntriesEntityPartySpecifiedReportingCalendarReportingCalendarCode,BU29-01,$.Accounting Entries.Entity_ Party.Specified_ Reporting Calendar.Reporting Calendar Code,bus,Reporting Calendar
124,bus,4,A,,Reporting Calendar Description,String,0..1,,A description of the reporting calendar (associated with the reportingCalendarCode given),報告カレンダー説明,報告カレンダーの説明（reportingCalendarCodeと関係付けられる）。,accountingEntriesEntityPartySpecifiedReportingCalendarReportingCalendarDescription,BU29-02,$.Accounting Entries.Entity_ Party.Specified_ Reporting Calendar.Reporting Calendar Description,bus,Reporting Calendar
125,bus,4,A,,Reporting Calendar Title,String,0..1,,A description of the reporting period. The actual beginning and ending dates are found within the 'reportingCalendarPeriod' class,報告カレンダータイトル,報告期間の説明。実際の開始日及び終了日はreportingCalendarPeriodに記述する。,accountingEntriesEntityPartySpecifiedReportingCalendarReportingCalendarTitle,BU29-03,$.Accounting Entries.Entity_ Party.Specified_ Reporting Calendar.Reporting Calendar Title,bus,Reporting Calendar
126,bus,4,A,,Reporting Calendar Period Type,Token,0..1,,"A code for the type of period involved. Enumerated as: monthly, quarterly, semi-annually, 4-5-4, ad-hoc, other.",期間種別コード,"報告期間の種別コード。月次、四半期ごと、半期ごと、4-5-4、随時、その他_x000D_
[設定値のリスト]_x000D_
(monthly：月次)、(quarterly：四半期ごと)、(semi-annually：半期ごと)、(4-5-4：4-5-4)、(ad-hoc：随時)、(other：その他)",accountingEntriesEntityPartySpecifiedReportingCalendarReportingCalendarPeriodType,BU29-04,$.Accounting Entries.Entity_ Party.Specified_ Reporting Calendar.Reporting Calendar Period Type,bus,Reporting Calendar
127,bus,4,A,,Reporting Calendar Period Type Description,String,0..1,,A description of the type of period involved.,期間種別説明,報告期間の種別の説明。,accountingEntriesEntityPartySpecifiedReportingCalendarReportingCalendarPeriodTypeDescription,BU29-05,$.Accounting Entries.Entity_ Party.Specified_ Reporting Calendar.Reporting Calendar Period Type Description,bus,Reporting Calendar
128,bus,4,A,,Reporting Calendar Closed Status,Token,0..1,,"An identifier on whether the reporting calendar is still open for activity. enumerated, ""open"", ""closed"", ""pending""",締状態,"報告カレンダーがオープンかどうかを示す識別子。オープン、締切り済み、保留中_x000D_
[設定値のリスト]_x000D_
(open：オープン)、(closed：締切り済み)、(pending：保留中)",accountingEntriesEntityPartySpecifiedReportingCalendarReportingCalendarClosedStatus,BU29-06,$.Accounting Entries.Entity_ Party.Specified_ Reporting Calendar.Reporting Calendar Closed Status,bus,Reporting Calendar
129,bus,4,A,,Reporting Calendar Purpose,Token,0..1,,A description of the accounting set of books involved. Uses enumeration from accounting method purpose.,報告目的,"帳簿の集合の説明。会計処理方法の目的の列挙値を使用する。_x000D_
[設定値のリスト]_x000D_
(book：帳簿)、(tax：税)、(management：管理)、(statutory：スタチュトリ)、(other：その他)",accountingEntriesEntityPartySpecifiedReportingCalendarReportingCalendarPurpose,BU29-07,$.Accounting Entries.Entity_ Party.Specified_ Reporting Calendar.Reporting Calendar Purpose,bus,Reporting Calendar
130,bus,4,A,,Reporting Calendar Purpose Description,String,0..1,,Free format description of the reporting purpose,報告目的説明,報告目的の説明。,accountingEntriesEntityPartySpecifiedReportingCalendarReportingCalendarPurposeDescription,BU29-08,$.Accounting Entries.Entity_ Party.Specified_ Reporting Calendar.Reporting Calendar Purpose Description,bus,Reporting Calendar
131,bus,4,C,,Reporting Calendar_ Period,,0..*,,A tool to collect a specific set of periods used to summarize results from transactions.,【報告カレンダー期間】,取引の結果をまとめるための特定の期間を集めるもの。,accountingEntriesEntityPartySpecifiedReportingCalendarReportingCalendarPeriod,BU29-09,$.Accounting Entries.Entity_ Party.Specified_ Reporting Calendar.Reporting Calendar_ Period,bus,Reporting Calendar_ Period
132,bus,5,A,PK,Period ID,String,0..1,,An identifier for this period in this calendar,報告期間識別子,このカレンダーにおけるこの期間の識別子。,accountingEntriesEntityPartySpecifiedReportingCalendarReportingCalendarPeriodId,BU28-01,$.Accounting Entries.Entity_ Party.Specified_ Reporting Calendar.Reporting Calendar_ Period.Period ID,bus,Reporting Calendar_ Period
133,bus,5,A,,Period Description,String,0..1,,A description of this specific reporting period in this calendar.,期間説明,このカレンダーにおけるこの特定の期間の説明。,accountingEntriesEntityPartySpecifiedReportingCalendarReportingCalendarPeriodDescription,BU28-02,$.Accounting Entries.Entity_ Party.Specified_ Reporting Calendar.Reporting Calendar_ Period.Period Description,bus,Reporting Calendar_ Period
134,bus,5,A,,Period Start Date,Date Time,0..1,,The beginning date/time of a period,期間開始日付,期間の開始日付/時刻,accountingEntriesEntityPartySpecifiedReportingCalendarReportingCalendarPeriodStartDate,BU28-03,$.Accounting Entries.Entity_ Party.Specified_ Reporting Calendar.Reporting Calendar_ Period.Period Start Date,bus,Reporting Calendar_ Period
135,bus,5,A,,Period End Date,Date Time,0..1,,The ending date/time of a period,期間終了日付,期間の終了日付/時刻,accountingEntriesEntityPartySpecifiedReportingCalendarReportingCalendarPeriodEndDate,BU28-04,$.Accounting Entries.Entity_ Party.Specified_ Reporting Calendar.Reporting Calendar_ Period.Period End Date,bus,Reporting Calendar_ Period
136,bus,5,A,,Reporting Calendar_ Period Closed Date,Date Time,0..1,,"The date/time a period has been closed for activity. If this is present with a nill value (xsi:nill=""true"") then the period is not closed.",期間締日付,"この期間の活動が締め切られた日付/時刻。この値がニル値(xsi:nill=""true"")であれば、この期間は、締め切られていない。",accountingEntriesEntityPartySpecifiedReportingCalendarReportingCalendarPeriodReportingCalendarPeriodClosedDate,BU28-05,$.Accounting Entries.Entity_ Party.Specified_ Reporting Calendar.Reporting Calendar_ Period.Reporting Calendar_ Period Closed Date,bus,Reporting Calendar_ Period
137,cor,2,C,,Entry_ Header,,0..*,,Parent for entry headers/journal entry headers.,【仕訳情報】,エントリヘッダー/仕訳記入ヘッダーの親タグ。,entryHeader,CO23-03,$.Accounting Entries.Entry_ Header,cor,Entry_ Header
138,cor,3,A,,Date Posted,Date Time,0..1,,Date this entry was posted (validated) to the general ledger. May not represent the date of accounting significance which is represented by 'postingDate'.,転記済日付,この仕訳が総勘定元帳に転記された(検証された)日付。 postingDateで示されるような会計上意味のある日付を表さないかもしれない。,datePosted,CO22-01,$.Accounting Entries.Entry_ Header.Date Posted,cor,Entry_ Header
139,cor,3,A,,Creator,String,0..1,,Initials/name of operator originally entering.,仕訳作成者,最初に入力したオペレータのイニシャル/名前。,entryHeaderCreator,CO22-02,$.Accounting Entries.Entry_ Header.Creator,cor,Entry_ Header
140,cor,3,A,,Last Modifier,String,0..1,,Identification for the last person modifying this entry before posting.,仕訳最終更新者,転記前に最後にこの仕訳を修正した者の識別子。,lastModifier,CO22-03,$.Accounting Entries.Entry_ Header.Last Modifier,cor,Entry_ Header
141,cor,3,A,,Responsible Person,String,0..1,,Identifier of person who created or originated or is otherwise responsible for the entry.,責任者,仕訳を作成したか、仕訳に責任を持つ者の識別子。,responsiblePerson,CO22-04,$.Accounting Entries.Entry_ Header.Responsible Person,cor,Entry_ Header
142,cor,3,A,,Type Code,Token,0..1,,"One of the following enumerated list: adjusting, budget, comparative, external-accountant, standard, passed-adjusting, eliminating, proposed, recurring, reclassifying, simulated, tax, other",種別識別子,"以下の値のうちのひとつ。_x000D_
整理、予算、比較、外部会計事務所、通常、無視、消去、提案、反復、組替、シミュレーション、税、その他_x000D_
[設定値のリスト]_x000D_
(adjusting：整理)、(budget：予算)、(comparative：比較)、(external-accountant：外部会計事務所)、(standard：通常)、(passed-adjusting：無視)、(eliminating：消去)、(proposed：提案)、(recurring：反復)、(reclassifying：組替)、(simulated：シミュレーション)、(tax：税)、(other：その他)",typeCode,CO22-05,$.Accounting Entries.Entry_ Header.Type Code,cor,Entry_ Header
143,cor,3,A,,Posting Code,String,0..1,,"Code for posting to period, e.g., period 1-13, based on codes in an accounting period file. We do not recommend that software vendors export here, but suggest providing period end numbers for the buckets. Possibilities W1 through W53, M1 through M13, Q1-Q4. Developers and others creating output files are encouraged to supply an actual end date.",転記コード,転記の期間を表すコード。例えば、会計期間ファイルのコードにもとづく期間１～１３。ソフトウエアベンダーが、この値をエクスポートすることは推奨しない。期間の最終番号を提供することを勧める。可能な値としては、W1からW53、M1からM13、Q1からQ4など。開発者や出力ファイルの作成者には、実際の終了日付を提供することを勧める。,postingCode,CO22-06,$.Accounting Entries.Entry_ Header.Posting Code,cor,Entry_ Header
144,cor,3,A,,Number of Entries,Integer,0..1,,The total number of entries.,仕訳総数,仕訳の総数。,numberOfEntries,CO22-07,$.Accounting Entries.Entry_ Header.Number of Entries,cor,Entry_ Header
145,cor,3,A,,Comment,String,0..1,,Comment of the entry,仕訳摘要,仕訳の摘要,comment,CO22-08,$.Accounting Entries.Entry_ Header.Comment,cor,Entry_ Header
146,cor,3,A,,Header_ Entry Date,Date Time,0..1,,"Represents the actual date/time of entry into computer (automated from system date, often misrepresented by changing system clock). Posting dates are maintained separately.",入力日付,コンピュータへ入力した実際の日付/時刻(システム日付から自動的に与えられ、システム時計の変更により、しばしば誤った値になる)を示す。 転記日付とは別に管理される。,headerEntryDate,CO22-09,$.Accounting Entries.Entry_ Header.Header_ Entry Date,cor,Entry_ Header
147,cor,3,A,,Source Journal,Token,0..1,,"Source journal. The code of the journal in which the entry is processed. The code must be a unique indication for a journal and is selected from the following enumerated list:

cd      cash disbursements (sending cheques to vendors)
cr      cash receipts (receiving cheques from others)
fa      fixed assets
gi      giro/other bank adjustments
gj      general journal
im      inventory management
jc      job cost
pj      purchase journal (liabilities from purchases)
pl      payroll journal
sj      sales journal
se      standard entries
ud      user defined
ot      other sources of entries",元仕訳帳種別,"元仕訳帳。仕訳が処理される仕訳帳のコード。コードは仕訳帳に一意な指標であり、以下から選択する。_x000D_
出金(仕入先への小切手送付)、入金(他者からの小切手受領)、固定資産、振替、一般仕訳帳、在庫管理、個別原価、仕入帳(仕入による負債)、賃金台帳、売上台帳、通常仕訳、ユーザ定義、その他_x000D_
[設定値のリスト]_x000D_
(cd：出金)、(cr：入金)、(fa：固定資産)、(gi：振替)、(gj：一般仕訳帳)、(im：在庫管理)、(jc：個別原価)、(pj：仕入帳)、(pl：賃金台帳)、(sj：売上台帳)、(se：通常仕訳)、(ud：ユーザ定義)、(ot：その他)",sourceJournal,CO22-10,$.Accounting Entries.Entry_ Header.Source Journal,cor,Entry_ Header
148,cor,3,A,,Journal Description,String,0..1,,"Source journal (full description of general journal, payroll journal, accountant entries). A more easily readable journal indication. The most common journals are: Purchases, Sales, Cash, and General Journal.",元仕訳帳説明,元仕訳帳(一般仕訳、給与台帳、会計事務所入力の完全な説明)。 よりわかりやすい仕訳帳の指標。 最も一般的な仕訳帳は、次の通り。 仕入、売上、現金、一般仕訳。,journalDescription,CO22-11,$.Accounting Entries.Entry_ Header.Journal Description,cor,Entry_ Header
149,cor,3,A,,Entry Origin,String,0..1,,"Origin of entry: accrual, manual entry, imported entry, exchange gain or loss",仕訳起源,仕訳の起源。発生、手入力、インポート入力、為替換算による損益。,entryOrigin,CO22-12,$.Accounting Entries.Entry_ Header.Entry Origin,cor,Entry_ Header
150,cor,3,A,,Entry ID,String,0..1,,Identifier within source journal,仕訳識別子,元仕訳帳中の識別子。,entryId,CO22-13,$.Accounting Entries.Entry_ Header.Entry ID,cor,Entry_ Header
151,cor,3,A,,Entry Description,String,0..1,,Description of entry described by this entry header (e.g. Opening Balance),仕訳説明,このエントリヘッダーによって説明された仕訳の説明(例えば、期首残高),entryDescription,CO22-14,$.Accounting Entries.Entry_ Header.Entry Description,cor,Entry_ Header
152,cor,3,A,,Entry Qualifier,Token,0..1,,"Entry Qualifier - An enumerated field that qualifies the type of entry, specifically useful for general ledger and trial balance environments when it is important to state the values represented are summarized as of the reporting date - opening or closing balances. In accounting systems, this is often known as BBF (balance brought forward.) Permitted values are: standard, balance-brought-forward and other.",仕訳修飾子,"仕訳の修飾子。総勘定元帳や試算表で、開始残高や決算残高のように、記された値が報告日で集約されていることを明示することが重要なときに有用な、仕訳の種別を修飾するもの。会計システムにおいて、BBF（繰越残高）として知られるもの。指定可能な値は以下。標準、繰越残高、その他_x000D_
[設定値のリスト]_x000D_
(standard：標準)、(balance-brought-forward：繰越残高)、(other：その他)",entryQualifier,CO22-15,$.Accounting Entries.Entry_ Header.Entry Qualifier,cor,Entry_ Header
153,cor,3,A,,Entry Qualifier Description,String,0..1,,Free format description of the entry qualifier,仕訳修飾子説明,仕訳の修飾子の説明。,entryQualifierDescription,CO22-16,$.Accounting Entries.Entry_ Header.Entry Qualifier Description,cor,Entry_ Header
154,cor,3,A,,Batch ID for Entry Group,String,0..1,,ID for a batch for this group of entries,仕訳グループ識別子,この仕訳の集合に付ける、束の識別子。,batchIdForEntryGroup,CO22-17,$.Accounting Entries.Entry_ Header.Batch ID for Entry Group,cor,Entry_ Header
155,cor,3,A,,Batch Description,String,0..1,,Description of this batch,仕訳グループ説明,この仕訳の束の説明。,batchDescription,CO22-18,$.Accounting Entries.Entry_ Header.Batch Description,cor,Entry_ Header
156,cor,3,A,,Total Debits,Monetary,0..1,,The total of all debit amounts.,借方合計,借方金額の合計値。,totalDebits,CO22-19,$.Accounting Entries.Entry_ Header.Total Debits,cor,Entry_ Header
157,cor,3,A,,Total Credits,Monetary,0..1,,The total of all credit amounts.,貸方合計,貸方金額の合計値。,totalCredits,CO22-20,$.Accounting Entries.Entry_ Header.Total Credits,cor,Entry_ Header
158,cor,3,A,,Type of Difference Between Book and Tax,Token,0..1,,"Enumerated field with possible values of permanent, temporary or none indicating the type of difference between book and tax accounting methods. Omission of this field is equivalent to ""none""",帳簿価税務簿価差異種別,"帳簿と税務会計処理方法との差異の種別を示す値。永久か一時的かまたは無し。値の省略時は「無し」と同じ。_x000D_
[設定値のリスト]_x000D_
(permanent：永久)、(temporary：一時的)、(none：無し)",typeOfDifferenceBetweenBookAndTax,CO22-21,$.Accounting Entries.Entry_ Header.Type of Difference Between Book and Tax,cor,Entry_ Header
159,cor,3,A,,Elimination Code,String,0..1,,Informs destination ledger this is an intracompany entry which eliminates in consolidation,相殺消去コード,連結決算時に消去される連結会社間仕訳であることを、受取側の元帳に通知する。,eliminationCode,CO22-22,$.Accounting Entries.Entry_ Header.Elimination Code,cor,Entry_ Header
160,cor,3,A,,Budget Scenario Period Start,Date Time,0..1,,Start of period covered by associated budgetScenario,予算シナリオ期間開始日付,関係付けられたbudgetScenarioがカバーする期間の開始日。,budgetScenarioPeriodStart,CO22-23,$.Accounting Entries.Entry_ Header.Budget Scenario Period Start,cor,Entry_ Header
161,cor,3,A,,Budget Scenario Period End,Date Time,0..1,,End of period covered by associated budgetScenario,予算シナリオ期間終了日付,関係付けられたbudgetScenarioがカバーする期間の終了日。,budgetScenarioPeriodEnd,CO22-24,$.Accounting Entries.Entry_ Header.Budget Scenario Period End,cor,Entry_ Header
162,cor,3,A,,Scenario Description,String,0..1,,Text related to budgetScenario,シナリオ説明,budgetScenarioに関する記述。,scenarioDescription,CO22-25,$.Accounting Entries.Entry_ Header.Scenario Description,cor,Entry_ Header
163,cor,3,A,,Scenario Code,String,0..1,,"Code for a budget scenario identifier (such as PB for 'preliminary budget', or RB for 'revised budget', or other identifier for entryType)",シナリオコード,予算シナリオの識別コード。例えば、「PB」（予備予算）、「RB」（補正予算）、または他の仕訳種別の識別子。,scenarioCode,CO22-26,$.Accounting Entries.Entry_ Header.Scenario Code,cor,Entry_ Header
164,cor,3,A,,Budget Allocation Code,Token,0..1,,"Code associated with the calculation formula: e.g. (D)ivide by number of periods, (T)otal for period given",予算配分コード,"計算式に関係付けられたコード。例えば、期間数での分割、与えられた期間の合計_x000D_
[設定値のリスト]_x000D_
(D：期間数での分割)、(T：与えられた期間の合計)",budgetAllocationCode,CO22-27,$.Accounting Entries.Entry_ Header.Budget Allocation Code,cor,Entry_ Header
165,cor,3,A,,"ID for Reversing, Standard or Master Entry",String,0..1,,"For standard, reversing, master, cancelling or other entries an ID associated with those entries.",反対/通常/マスタ仕訳識別子,通常、反対、マスタ、取消または他の仕訳のための、それらの仕訳を関連付けるID。,idForReversingStandardOrMasterEntry,CO22-28,"$.Accounting Entries.Entry_ Header.ID for Reversing, Standard or Master Entry",cor,Entry_ Header
166,cor,3,A,,Recurring Standard Description,String,0..1,,Description to accompany standard or recurring ID,反復通常仕訳説明,通常仕訳または反復仕訳のIDの説明。,recurringStandardDescription,CO22-29,$.Accounting Entries.Entry_ Header.Recurring Standard Description,cor,Entry_ Header
167,cor,3,A,,Frequency Interval,Decimal,0..1,,"For standard or recurring journals, how often entry may be made: every frequencyInterval frequencyUnit, such as every 7 (interval) days (unit) or every 1 (interval) quarter (unit). This field represents the interval.",頻度間隔,通常または反復仕訳において、仕訳が記入される頻度。frequencyInterval、frequencyUnitごと、たとえば7(interval)日(unit)ごと、1(interval)四半期(unit)ごとなどにおける、intervalを示す。,frequencyInterval,CO22-30,$.Accounting Entries.Entry_ Header.Frequency Interval,cor,Entry_ Header
168,cor,3,A,,Frequency Unit,String,0..1,,"For standard or recurring journals, how often entry may be made: every frequencyInterval frequencyUnit, such as every 7 (interval) days (unit) or every 1 (interval) quarter (unit). This field represents the unit.",頻度単位,通常または反復仕訳において、仕訳が記入される頻度。frequencyInterval、frequencyUnitごと、たとえば7(interval)日(unit)ごと、1(interval)四半期(unit)ごとなどにおける、unitを示す。,frequencyUnit,CO22-31,$.Accounting Entries.Entry_ Header.Frequency Unit,cor,Entry_ Header
169,cor,3,A,,Repetitions Remaining,Integer,0..1,,Number of times that the recurring entry will repeat,反復残回数,反復仕訳の繰り返し予定数。,repetitionsRemaining,CO22-32,$.Accounting Entries.Entry_ Header.Repetitions Remaining,cor,Entry_ Header
170,cor,3,A,,Next Date Repeat,Date Time,0..1,,Date next repeated or standard posted,次回反復日付,次回の反復あるいは通常の転記日。,nextDateRepeat,CO22-33,$.Accounting Entries.Entry_ Header.Next Date Repeat,cor,Entry_ Header
171,cor,3,A,,Last Date Repeat,Date Time,0..1,,Date last repeated or standard posted,前回反復日付,前回の反復あるいは通常の転記日。,lastDateRepeat,CO22-34,$.Accounting Entries.Entry_ Header.Last Date Repeat,cor,Entry_ Header
172,cor,3,A,,End Date of Repeating Entry,Date Time,0..1,,"For standard or recurring journals, stop date/time for repetitive entry.",反復仕訳終了日付,通常仕訳または反復仕訳のための、反復入力の終了日付/時刻。,endDateOfRepeatingEntry,CO22-35,$.Accounting Entries.Entry_ Header.End Date of Repeating Entry,cor,Entry_ Header
173,cor,3,A,,Reverse,Boolean,0..1,,Should entry be reversed?,反対仕訳要否,仕訳が取り消されるべきか。,reverse,CO22-36,$.Accounting Entries.Entry_ Header.Reverse,cor,Entry_ Header
174,cor,3,A,,Reversing Date,Date Time,0..1,,Date this entry should be reversed,反対仕訳日付,この仕訳が取り消されるべき日付。,reversingDate,CO22-37,$.Accounting Entries.Entry_ Header.Reversing Date,cor,Entry_ Header
175,cor,3,A,,Entry Number Counter,Decimal,0..1,,Unique reference for the entry - a numeric counter,仕訳番号カウンタ,仕訳の一意なリファレンス　　カウンタ,entryNumberCounter,CO22-38,$.Accounting Entries.Entry_ Header.Entry Number Counter,cor,Entry_ Header
176,cor,3,C,,Entry_ Detail,,0..*,,Parent for entry detail,【仕訳明細】,仕訳明細の親タグ。,entryDetail,CO22-39,$.Accounting Entries.Entry_ Header.Entry_ Detail,cor,Entry_ Detail
177,cor,4,A,PK,Line Number,String,0..1,,Identifier for a particular entry detail,明細行番号,仕訳明細の識別子。,lineNumber,CO21-01,$.Accounting Entries.Entry_ Header.Entry_ Detail.Line Number,cor,Entry_ Detail
178,cor,4,A,,Line Number Counter,Decimal,0..1,,Unique reference for the line - a numeric counter,明細行番号カウンタ,明細行の一意なリファレンス　　カウンタ,lineNumberCounter,CO21-02,$.Accounting Entries.Entry_ Header.Entry_ Detail.Line Number Counter,cor,Entry_ Detail
179,cor,4,A,,Posting Date,Date Time,0..1,,"At the detail level, this represents the accounting significance date. No matter what date the document is received, entered, or posted, this signifies the accounting date of the entry. If you want to see the financial results for March 5, 2002 and this entry is given that date, the entry will be part of the results for March 5, 2002. This is different from the postedDate found at the entryHeader level. If you want the accounting significance to be a particular date, it goes here. A single entry could represent multiple dates, but would only be posted on one date.",転記日付,明細レベルで、会計上意義のある日付を示す。ドキュメントの受領、入力、転記の日付に関わらず、仕訳が会計処理された日付を示す。2002.03.05の財務結果を見たいときに、ここにその日付がある場合は、この明細は2002.03.05の結果の一部である。これは、entryHeaderにあるpostedDateとは異なる。特定の日付を会計上意義のある日付にしたいなら、ここに記述する。ひとつの仕訳が複数の日付をあらわせるが、ひとつの日でのみ転記される。,postingDate,CO21-03,$.Accounting Entries.Entry_ Header.Entry_ Detail.Posting Date,cor,Entry_ Detail
180,cor,4,A,,Memo Line,Boolean,0..1,,A boolean like entry that indicates whether an entryDetail line has been provided solely to provide additional details and that tools should not consider the amount in postings.,メモ行フラグ,明細行が単に追加の詳細を与えるものであり、転記金額に含めるべきでないことを示すブール値。,memoLine,CO21-04,$.Accounting Entries.Entry_ Header.Entry_ Detail.Memo Line,cor,Entry_ Detail
181,cor,4,A,,Document Type,Token,0..1,,"An enumerated field describing the original source document, with check, debit-memo, credit-memo, finance-charge, invoice, order-customer, order-vendor, payment-other, reminder, tegata, voucher, shipment, receipt, manual-adjustment, other.",元文書種別,小切手、借方メモ、貸方メモ、財務費用、顧客への請求書、顧客オーダー、仕入先オーダー、その他支払い、督促状、手形、ベンダからの請求書、出荷票、受領票、手修正、その他の列挙値による、元文書の説明。[設定値のリスト]_x000D_ (check：小切手)、(debit-memo：借方メモ)、(credit-memo：貸方メモ)、(finance-charge：財務費用)、(invoice：顧客への請求書)、(order-customer：顧客オーダ)、(order-vendor：仕入先オーダ)、(payment-other：その他支払い)、(reminder：督促状)、(tegata：手形)、(voucher：ベンダからの請求書)、(shipment：出荷票)、(receipt：受領票)、(manual-adjustment：手修正)、(other：その他),entryDetailDocumentType,CO21-05,$.Accounting Entries.Entry_ Header.Entry_ Detail.Document Type,cor,Entry_ Detail
182,cor,4,A,,Document Type Description,String,0..1,,Free format description of the document type,元文書種別説明,元文書の種別の説明。,documentTypeDescription,CO21-06,$.Accounting Entries.Entry_ Header.Entry_ Detail.Document Type Description,cor,Entry_ Detail
183,cor,4,R,,Document,,0..1,,"Invoice, check, voucher, or other source document identifier",元文書番号,請求書、小切手、証憑、その他の元文書の識別子。,,CO21-07,$.Accounting Entries.Entry_ Header.Entry_ Detail.Document,cor,Document
184,cor,5,A,REF,Document Number,String,0..1,,Document number,発生元文書番号,発生元文書の番号。,entryDetailDocumentNumber,CO20-02,$.Accounting Entries.Entry_ Header.Entry_ Detail.Document.Document Number,cor,Document
185,cor,4,A,,Document Date,Date Time,0..1,,"Date (and less likely in the paper world but possible in the e-world, time) on actual document (invoice, voucher, check date). Other dates control posting information.",元文書日付,実際の文書（請求書、証憑、小切手）の日付（および、紙の世界ではありそうにないが、電子的には時刻）。 転記の情報は別の日付で管理する。,documentDate,CO21-08,$.Accounting Entries.Entry_ Header.Entry_ Detail.Document Date,cor,Entry_ Detail
186,cor,4,A,,Received Date,Date Time,0..1,,Date/time document was noted as received (if necessary). Represents actual date received. Posting dates are maintained separately.,元文書受領日付,（必要であれば）文書の受領が記録された日付/時刻。実際に受領された日付をあらわす。転記日付は別に管理される。,receivedDate,CO21-09,$.Accounting Entries.Entry_ Header.Entry_ Detail.Received Date,cor,Entry_ Detail
187,cor,4,A,,Document Location,String,0..1,,"Document location as URI, file name or other reference. Alternatively, text of document can be placed here.",元文書格納場所,文書の格納場所である、URI、ファイル名またはその他の参照情報。代わりに、文書のテキストも記述可能。,documentLocation,CO21-10,$.Accounting Entries.Entry_ Header.Entry_ Detail.Document Location,cor,Entry_ Detail
