sequence,level,property_type,identifier,module,class_term,property_term,association_role,representation_term,associated_module,associated_class,multiplicity,definition,label_local,definition_local
154,2,Attribute,,bus,Reporting Calendar,Reporting Calendar Closed Status,,Token,,,0..1,"An identifier on whether the reporting calendar is still open for activity. enumerated, ""open"", ""closed"", ""pending""",締状態,"報告カレンダーがオープンかどうかを示す識別子。オープン、締切り済み、保留中_x000D_
[設定値のリスト]_x000D_
(open：オープン)、(closed：締切り済み)、(pending：保留中)"
155,2,Attribute,,bus,Reporting Calendar,Reporting Calendar Purpose,,Token,,,0..1,A description of the accounting set of books involved. Uses enumeration from accounting method purpose.,報告目的,"帳簿の集合の説明。会計処理方法の目的の列挙値を使用する。_x000D_
[設定値のリスト]_x000D_
(book：帳簿)、(tax：税)、(management：管理)、(statutory：スタチュトリ)、(other：その他)"
156,2,Attribute,,bus,Reporting Calendar,Reporting Calendar Purpose Description,,String,,,0..1,Free format description of the reporting purpose,報告目的説明,報告目的の説明。
157,2,Composition,,bus,Reporting Calendar,,,,bus,Reporting Calendar_ Period,0..*,A tool to collect a specific set of periods used to summarize results from transactions.,【報告カレンダー期間】,取引の結果をまとめるための特定の期間を集めるもの。
158,1,Class,,cor,External Authority,,,,,,0..*,Class containing references to an external authority associated with identifier,【外部機関】,識別子と関係付けられる外部機関への参照情報を含む構造体。
159,2,Attribute,PK,cor,External Authority,External Authority Code,,String,,,0..1,"External Authority (e,g, Tax Authority) ID Number associated with identifierReference",外部機関付与識別番号,identifierReferenceと関係付けられる、外部機関（たとえば、税務署）によるID番号。
160,2,Attribute,,cor,External Authority,External Authority Name,,String,,,0..1,Name of External Authority (e.g. Tax Authority),外部機関名,外部機関の名前（たとえば、税務署）
161,2,Attribute,,cor,External Authority,External Authority Verification Date,,Date Time,,,0..1,Date on which the External Authority last performed a verification,外部機関認証日付,外部機関が最後に認証した日付。
162,1,Class,,bus,Organization Identifier,,,,,,0..*,Class which contains various identifiers for the party.,【識別子】,組織に関する様々な識別子を含むセクション。
163,2,Attribute,PK,bus,Organization Identifier,Organization Identifier Code,,String,,,0..1,"Code representing the company or organization whose data this file represents: used for situations where one user (e.g., a CPA) needs to keep track of multiple organizations' files (e.g., multiple clients). Can be EIN#, client #, internal/external identifier, SIC code. Codes which identifies the entity. Includes the code identifier of the authority issuing the code, a colon, and the code itself. For example, CIK:01234567 for the CIK number issued by SEC EDGAR.",事業体識別子,このファイルでデータを表現している会社や組織のコード。ひとりのユーザ(例えば、公認会計士)が複数の組織(例えば、複数の顧客)のファイルを把握する必要がある場合に使用される。 EIN番号、顧客番号、内部/外部識別子、SICコードであってよい。事業体の識別子をコード化する。コードを発行する権威ある組織のコード識別子、コロン、およびコードそのものを含む。 例えば、SEC　EDGARが発行したCIK番号　CIK: 01234567。
164,2,Attribute,,bus,Organization Identifier,Organization Identifier Description,,String,,,0..1,Text describing the organization identified by the organization identifier. Includes any relevant information about the code itself (e.g. issuing authority).,事業体説明,事業体識別子によって特定された組織の説明文。 コードに関するなんらかの記述情報。
165,1,Abstract Class,,cor,Identifier Reference,,,,,,0..*,"Identification for customer, vendor, or employee.",【CVE情報】,顧客、仕入先、従業員のための識別子。
166,2,Attribute,PK,cor,Identifier Reference,Identifier  Code,,String,,,0..1,Unique ID Number associated with identifierReference,CVE識別番号（内部）,identifierReferenceに関係付けられた、内部ID番号。
167,2,Attribute,,cor,Identifier Reference,Identifier Purpose,,String,,,0..1,"Freeform for codes like purchasing, billing, manufacturing at identifier level.",CVE目的,購買、請求、製造などの、CVE識別子のレベルのコードの自由記述。
168,2,Attribute,,cor,Identifier Reference,Identifier Active,,Boolean,,,0..1,"Boolean to indicate whether the identifier is active (=""true"") or inactive (=""false"")",CVE有効性,CVE識別子が有効か無効かを示すブール値。
169,2,Attribute,,cor,Identifier Reference,Identifier Organization Type,,Token,,,0..1,"Identifier Organization Type. Enumerated as: individual, organization, other.",CVE組織種別,"CVE識別子の組織種別。_x000D_
[設定値のリスト]_x000D_
(individual：個人)、(organization：組織)、(other：その他)"
170,2,Attribute,,cor,Identifier Reference,Identifier Organization Type Description,,String,,,0..1,Free format description of the identifier organization type,CVE組織種別説明,CVE識別子の組織種別の説明。
171,2,Attribute,,cor,Identifier Reference,Identifier Description,,String,,,0..1,Textual description of identifierReference.,CVE説明,identifierReferenceの説明。
172,2,Attribute,,cor,Identifier Reference,Identifier Type,,Token,,,0..1,"Entity type (enumerated): C, customer, E, employee, V, vendor, O, other, I, salesperson-internal, X, salesperson-external, N, contractor.",CVE種別,実体の種別。_x000D_ [設定値のリスト]_x000D_ (C)、(customer：顧客)、(E)、(employee：従業員)、(V)、(vendor：仕入先)、(O)、(other：その他)、(I)、(salesperson-internal：店舗内販売員)、(X)、(salesperson-external：外交販売員)、(N)、(contractor：請負者)
173,2,Attribute,,cor,Identifier Reference,Identifier Category,,String,,,0..1,"For use as Customer, Vendor or Employee Class (such as Residential/Commercial/Institutional/Government or Retail/Wholesale or other classifications used by business).",CVEカテゴリ,顧客、仕入先、従業員の分類に使用する。　（住居/商業/機関/政府や、小売/卸や、ビジネスで使用されるその他の分類）。
174,2,Composition,,cor,Identifier Reference,,,,cor,External Authority,0..*,Class containing references to an external authority associated with identifier,【外部機関】,識別子と関係付けられる外部機関への参照情報を含む構造体。
175,2,Composition,,cor,Identifier Reference,,,,cor,Identifier_ Phone,0..*,Phone number related to Identifier.,【電話番号】,CVE識別子の電話番号。
176,2,Composition,,cor,Identifier Reference,,,,cor,Identifier_ Fax,0..*,Fax number class related to identifier.,【FAX番号】,CVE識別子のFAX番号の構造体。
177,2,Composition,,cor,Identifier Reference,,,,cor,Identifier_ Email,0..*,Email address for Identifier.,【CVEEメールアドレス】,CVE識別子のEメールアドレス。
178,2,Composition,,cor,Identifier Reference,,,,cor,Identifier_ Address,0..*,"Address (block) of customer, vendor, employee for integration purposes, VAT.",【CVE住所】,統合目的やVATのための、顧客、仕入先、従業員の住所(ブロック)。
179,2,Composition,,cor,Identifier Reference,,,,cor,Identifier_ Contact,0..*,Identifier Contact Information Class,【CVE担当者情報】,CVE識別子の担当者情報の構造体。
180,1,Class,,cor,Detail_ Identifier Reference,,,,,,0..*,"Identification for customer, vendor, or employee.",【CVE情報】,顧客、仕入先、従業員のための識別子。
181,2,Specialization,,cor,Detail_ Identifier Reference,,,,cor,Identifier Reference,1,,,
182,1,Abstract Class,,cor,Party,,,,,,0..*,Class for the party,,
183,2,Attribute,,cor,Party,Party Name,,String,,,0..1,Name of the party,,
184,2,Attribute,,cor,Party,Party ID,,String,,,0..1,ID Number of the party,,
185,2,Attribute,,cor,Party,Party Business Description,,String,,,0..1,Description of the nature of the business of the party.,業種説明,事業体の事業の種類についての説明。
186,2,Composition,,cor,Party,,,,bus,Party_  Phone,0..*,Primary phone number of the party.,【事業体電話番号】,事業体の主要電話番号情報。
187,2,Composition,,cor,Party,,,,bus,Party_  Fax,0..*,Class for holding company fax information.,【事業体FAX番号】,事業体のFAX番号情報のタプル。
188,2,Composition,,cor,Party,,,,bus,Party_  Email,0..*,Class for holding company email information.,【事業体Eメールアドレス】,事業体のEメールアドレス情報のタプル。
189,2,Composition,,cor,Party,,Registered,,bus,Organization Identifier,0..*,Class which contains various identifiers for theparty.,【識別子】,組織に関する様々な識別子を含むセクション。
190,2,Composition,,cor,Party,,,,bus,Party_  Address,0..*,Address class for the party,【住所】,報告事業体の住所構造体。
191,2,Composition,,cor,Party,,,,bus,Party_ Web Site,0..*,Primary web site of the party.,【事業体Webサイト】,事業体の代表ウェブサイト。
192,2,Composition,,cor,Party,,,,bus,Party_  Contact,0..*,Information about contacts.,【担当者情報】,担当者に関する情報。
193,1,Class,,cor,Entity_ Party,,,,,,0..1,Holder for entity information - information about the reporting organization.,【事業体情報】,事業体情報（報告組織に関する情報）の入れ物。
194,2,Specialization,,cor,Entity_ Party,,,,cor,Party,1,,,
195,2,Attribute,,cor,Entity_ Party,Default Accounting Method Purpose,,Token,,,0..1,"If not stated explicitly at the line level, the default reporting purpose - from book, tax, management, statutory, other",既定会計処理方法目的,"明細レベルで明確に指定しない場合の、既定の報告目的を表す。帳簿、税、管理、スタチュトリ、その他から選択する。_x000D_
[設定値のリスト]_x000D_
(book：帳簿)、(tax：税)、(management：管理)、(statutory：スタチュトリ)、(other：その他)"
196,2,Attribute,,cor,Entity_ Party,Default Accounting Method Purpose Description,,String,,,0..1,Free format description of the default accounting method purpose,既定会計処理方法目的説明,既定の会計処理方法目的の説明。
197,2,Attribute,,cor,Entity_ Party,Fiscal Year Start,,Date,,,0..1,"Start of fiscal year. Where appropriate, corporate year period representation permits non-365 or 366 day years (more appropriate for internal sharing than data from external sources), In Europe, some jurisdictions allow 2 year minus 1 day fiscal years.",会計年度開始日付,会計年度の開始日。妥当であれば、企業の会計年度表示において、366日や365日でない年も許可する（外部ソースからのデータより内部共有のための方が適している）。ヨーロッパでは、2年マイナス1日の会計年度を許可するところもある。
198,2,Attribute,,cor,Entity_ Party,Fiscal Year End,,Date,,,0..1,"End of fiscal year. Where appropriate, corporate year period representation permits non-365 or 366 day years (more appropriate for internal sharing than data from external sources), In Europe, some jurisdictions allow 2 year minus 1 day fiscal years.",会計年度終了日付,会計年度の終了日。妥当であれば、企業の会計年度表示において、366日や365日でない年も許可する（外部ソースからのデータより内部共有のための方が適している）。ヨーロッパでは、2年マイナス1日の会計年度を許可するところもある。
199,2,Composition,,cor,Entity_ Party,,Specified,,bus,Accounting Method Structure,0..*,Class for identifying the methods of accounting used by the entity for different reporting purposes,【会計処理方法】,異なる報告目的に応じて事業体が使用する会計処理方法を識別するためのセクション。
200,2,Aggregation,,cor,Entity_ Party,,Assigned,,bus,Accountant,0..*,Information about the relevant external accountant,【会計事務所情報】,関連する外部会計事務所に関する情報。
201,2,Composition,,cor,Entity_ Party,,Specified,,bus,Reporting Calendar,0..*,A tool to collect the periods used to summarise results from transactions.,【報告カレンダー】,取引の結果をまとめるための期間を集めるもの。
202,1,Class,,cor,Subaccount,,,,,,0..*,Class to hold multiple accountSubIDs and Descriptions,【補助勘定科目情報】,複数のaccountSubIDと説明文を含むタプル。
203,2,Attribute,,cor,Subaccount,Subaccount Description,,String,,,0..1,The description that accompanies accountSubID belongs here.,補助勘定科目説明,accountSubIDに関する説明。
204,2,Attribute,,cor,Subaccount,Subaccount ID,,String,,,0..1,"Where the primary account was placed in accountMainID, the code used for each profit center, division, business unit, fund, program, branch, project, class, su-class or other modifier is placed here.",補助勘定科目コード,主勘定科目をaccountMainIDに指定したときに、各プロフィットセンタ、事業部、事業体、基金、プログラム、支店、プロジェクト、クラス、su-クラス又は他の修飾子に使用されるコードはここに指定する。
205,2,Attribute,,cor,Subaccount,Type,,Token,,,0..1,"Type of sub-account - profit center, division, business unit, fund, program, branch, project, class, su-class or other modifier is placed here. For example:: Accountability center: Business unit: Class:Department: Project: Fund: Program:Job: Profit center: Branch: Setup class: Division: Unit",補助勘定科目種別,小勘定科目の種別。プロフィットセンタ、事業部、事業体、基金、プログラム、支店、プロジェクト、クラス、su-クラス又は他の修飾子がここに配置される。 例えば、責任単位、事業単位、クラス、部、プロジェクト、基金、プログラム、ジョブ、プロフィットセンター、支店、セットアップクラス、部門、ユニット
206,2,Reference Association,,cor,Subaccount,,,,cor,Parent Subaccount,0..1,Reference to the ID of the parent subaccount.,親補助勘定科目コード,
207,1,Class,,cor,Parent Subaccount,,,,,,0..*,Class for showing the detail necessary to roll up from one segment (type of subaccount) to another.,【親補助勘定科目情報】,あるセグメント（補助勘定の種別）から別のセグメントへ集約（ロールアップ）するために必要な詳細を表すクラス。
208,2,Attribute,PK,cor,Parent Subaccount,Parent Subaccount Code,,String,,,0..1,Subaccount NUMBER this subaccount rolls up to - see also subaccount type it rolls up to.,親補助勘定科目コード,この小勘定科目のロールアップ先の小勘定科目の番号-ロールアップ先の小勘定科目の種別も参照。
209,2,Attribute,,cor,Parent Subaccount,Parent Subaccount Type,,String,,,0..1,The describer of the segment this subaccount rolls up to.,親補助勘定科目種別,この小勘定科目のロールアップ先のセグメントの説明。
210,2,Attribute,,cor,Parent Subaccount,Parent Subaccount Reporting Tree ID,,String,,,0..1,Used for representing descriptions of reporting trees.,親補助勘定レポーティングツリーID,レポーティングツリーの階層構造における親ノードを識別するために用いられる識別子。
211,2,Attribute,,cor,Parent Subaccount,Parent Subaccount Percentage,,Pure,,,0..1,"For partial allocations of amounts to different parents, the percentage of a child that will be allocated to a parent.",親補助勘定科目配分パーセンテージ,異なる親科目に配分する場合に、親科目に割り当てるパーセンテージ。
212,1,Abstract Class,,cor,Account Identifier,,,,,,0..*,"Class: parent container for account numbers and identifiers. No entry is made here, but each detail line may have multiple accounts assigned to it for reporting in different GAAPs, offsetting accounts in Japan, passing along information to consolidation systems about local versus consolidating accounts, etc. For example, the account 4783HG-QOWI-192837-1000 may be expressed so: 

/account/accountMainID 1000  
/account/accountMainDescription Cash  
/account/accountSub/accountSubID 4783HG  
/account/accountSub/accountSubDescription Department  
/account/accountSub/accountSubID QOWI  
/account/accountSub/accountSubDescription Branch  
/account/accountSub/accountSubID 192837  
/account/accountSub/accountSubDescription Division",【科目識別子】,"タプル。勘定科目番号と識別子の親コンテナ。 ここには記入されないが、個々の明細行は、異なるGAAPでの報告や、日本の見返勘定や、連結勘定科目に対する個別情報の連結会計システムへの伝達などのための、複数の勘定科目を持ちうる。例えば、勘定科目4783HG-QOWI-192837-1000は、次のように表現されうる。_x000D_
/account/accountMainID 1000  
/account/accountMainDescription Cash  
/account/accountSub/accountSubID 4783HG  
/account/accountSub/accountSubDescription Department  
/account/accountSub/accountSubID QOWI  
/account/accountSub/accountSubDescription Branch  
/account/accountSub/accountSubID 192837  
/account/accountSub/accountSubDescription Division"
213,2,Attribute,PK,cor,Account Identifier,Account Number,,String,,,0..1,"Main account - the code used to identify the accounting bucket the entry has been assigned to. Examples might be 1000 for Cash, 567GAAZ for Sales Expense or Z for tax payments. Identifiers such as department, branch, division, manager, or other modifiers are noted in the Subaccount area. Before needing to post, account is not necessary. Posting to the general ledger almost always requires an entry here.",主勘定科目コード,"主勘定科目。仕訳が関連する会計バケットを特定するためのコード。例えば、現金を表す1000、販売費を表す567GAAZ、税を表すZ。_x000D_
部門、支店、事業部、マネージャ、その他の識別子は、Subaccount領域に記述される。転記の必要がなければ、勘定科目は必要ではない。総勘定元帳に転記するにはほとんどの場合必要。"
214,2,Attribute,,cor,Account Identifier,Account Description,,String,,,0..1,Description of accountMainID - the human readable describer that accompanies the code used in accountMainID,主勘定科目説明,主勘定科目コードの説明。主勘定科目コードとして使用されるコードについての、人が読める記述。
215,2,Attribute,,cor,Account Identifier,Account Classification,,Token,,,0..1,"Account type - FASB Concepts 6 and similar international designs. When xbrlInfo is used to associated other XBRL reporting items, this field is more suited to representing existing systems (audit) than data interchange. Enumerated as: asset, liability, equity, income, gain, expense, loss, contr-to-equity, distr-from-equity, comprehensive-income, other.",主勘定科目区分,"主勘定科目の種別。FASB Concepts 6および、同様の国際的な様式。xbrlInfoが他のXBRL項目と関係付けられる場合、データ交換より現存システム(audit)を示すべき。_x000D_
[設定値のリスト]_x000D_
(asset：資産)、(liability：負債)、(equity：資本)、(income：収益)、(gain：利得)、(expense：費用)、(loss：損失)、(contr-to-equity：資本増加)、(distr-from-equity：資本減少)、(comprehensive-income：包括利益)、(other：その他)"
216,2,Attribute,,cor,Account Identifier,Account Classification Description,,String,,,0..1,Free format description of the account classification,主勘定科目区分説明,主勘定科目の区分の説明。
217,2,Attribute,,cor,Account Identifier,Parent Account Number,,String,,,0..1,Roll up item from child natural account to parent natural account.,親勘定科目コード,子勘定科目から親勘定科目に包み込む科目。
218,2,Attribute,,cor,Account Identifier,Purpose of Account,,Token,,,0..1,"Code related to usage for account aggregate - Consolidating, European, IFRS, Offsetting, Primary, Tax, USGAAP, Japanese, Other. Japanese companies will use this for the tax required offsetting entry. If left blank, assumes default accounting method for company.",勘定科目目的,"勘定科目群の使用法を示すコード。連結、European, IFRS, 見返、プライマリ, 税, USGAAP, Japanese,その他。日本企業では、見返仕訳で要求される税務処理に利用するかもしれない。空白の場合、企業の既定の勘定方法とみなす。_x000D_
[設定値のリスト]_x000D_
(consolidating：連結)、(european：ヨーロッパ)、(ifrs：IFRS)、(offsetting：見返)、(primary：プライマリ)、(tax：税)、(usgaap：US GAAP)、(japanese：日本)、(other：その他)"
219,2,Attribute,,cor,Account Identifier,Purpose of Account Description,,String,,,0..1,Description of usage for aggregate account,勘定科目目的説明,勘定科目群の使用法の説明。
220,2,Attribute,,cor,Account Identifier,Account Type,,Token,,,0..1,"Type of account. Enumerated as: account, bank, employee, customer, job, vendor, measurable, statistical, other.",科目種別,"科目の種別。_x000D_
[設定値のリスト]_x000D_
(account：勘定科目)、(bank：銀行)、(employee：従業員)、(customer：顧客)、(job：ジョブ)、(vendor：仕入先)、(measurable：計測可能物)、(statistical：統計)、(other：その他)"
221,2,Attribute,,cor,Account Identifier,Account Type Description,,String,,,0..1,Free format description of the account type,科目種別説明,科目の種別の説明。
222,2,Attribute,,cor,Account Identifier,Accounting Method,,Token,,,0..1,"For this entry, the method of accounting represented - from: accrual, cash, modified cash, modified accrual, encumbrance, special methods, hybrid methods, other",仕訳会計処理方法,"この仕訳の会計処理方法を表す。発生基準、現金基準、修正現金基準、修正発生基準、債務基準、特別な方法、混合方法、その他_x000D_
[設定値のリスト]_x000D_
(accrual：発生基準)、(cash：現金基準)、(modified cash：修正現金基準)、(modified accrual：修正発生基準)、(encumbrance：債務基準)、(special methods：特別な方法)、(hybrid methods：混合方法)、(other：その他)"
223,2,Attribute,,cor,Account Identifier,Accounting Method Description,,String,,,0..1,Free format description of the entry accounting method,仕訳会計処理方法説明,仕訳の会計処理方法の説明。
224,2,Attribute,,cor,Account Identifier,Accounting Method Purpose,,Token,,,0..1,"For this entry, the reporting purpose represented - from book, tax, management, statutory, other",仕訳会計処理方法目的,"仕訳の報告の目的を表す。帳簿、税、管理、スタチュトリ、その他_x000D_
[設定値のリスト]_x000D_
(book：帳簿)、(tax：税)、(management：管理)、(statutory：スタチュトリ)、(other：その他)"
225,2,Attribute,,cor,Account Identifier,Accounting Method Purpose Description,,String,,,0..1,Free format description of the entry accounting method purpose,仕訳会計処理方法目的説明,仕訳の会計処理方法の目的の説明。
226,2,Attribute,,cor,Account Identifier,Account Active,,Boolean,,,0..1,"Boolean to indicate whether the account is active (=""true"") or inactive (=""false"")",科目有効性,科目が有効か無効かを示すブール値。
227,2,Composition,,cor,Account Identifier,,,,cor,Subaccount,0..*,Class to hold multiple accountSubIDs and Descriptions,【サブ科目情報】,複数のaccountSubIDと説明文を含むタプル。
228,1,Class,,cor,Detail_ Account Identifier,,,,,,0..*,"Class: parent container for account numbers and identifiers. No entry is made here, but each detail line may have multiple accounts assigned to it for reporting in different GAAPs, offsetting accounts in Japan, passing along information to consolidation systems about local versus consolidating accounts, etc. For example, the account 4783HG-QOWI-192837-1000 may be expressed so: 

/account/accountMainID 1000  
/account/accountMainDescription Cash  
/account/accountSub/accountSubID 4783HG  
/account/accountSub/accountSubDescription Department  
/account/accountSub/accountSubID QOWI  
/account/accountSub/accountSubDescription Branch  
/account/accountSub/accountSubID 192837  
/account/accountSub/accountSubDescription Division",【科目識別子】,"タプル。勘定科目番号と識別子の親コンテナ。 ここには記入されないが、個々の明細行は、異なるGAAPでの報告や、日本の見返勘定や、連結勘定科目に対する個別情報の連結会計システムへの伝達などのための、複数の勘定科目を持ちうる。例えば、勘定科目4783HG-QOWI-192837-1000は、次のように表現されうる。_x000D_
/account/accountMainID 1000  
/account/accountMainDescription Cash  
/account/accountSub/accountSubID 4783HG  
/account/accountSub/accountSubDescription Department  
/account/accountSub/accountSubID QOWI  
/account/accountSub/accountSubDescription Branch  
/account/accountSub/accountSubID 192837  
/account/accountSub/accountSubDescription Division"
229,2,Specialization,,cor,Detail_ Account Identifier,,,,cor,Account Identifier,1,,,
230,1,Abstract Class,,muc,Multicurrency,,,,,,0..*,Class to provide additional information related to home currencies that differ from original currencies and related exchange rates - typically this will be used to record exchange rates and amounts in currencies and/or on dates other than those of the original transaction. This class allows recording of exchange rates using a third currency as a triangulation currency. This is often EUR but is not restricted to being so. This class may be repeated as many times as necessary to record amounts in foreign currencies on the same or different dates.,【多通貨明細】,"原取引時の通貨と異なる、自国通貨と換算レートに関する追加情報のセクション。－現在および原取引時の、換算レートおよび金額の記録に使用される。_x000D_
トライアンギュレーション通貨としての第三通貨の換算レートを記録できる。EURの場合が多いがそれに限らない。この構造は、同日または異なる日の外貨での金額を記録する必要がある限り、繰り返し指定可能。"
231,2,Attribute,,muc,Multicurrency,Multicurrency Exchange Rate Date,,Date Time,,,0..1,Date of exchange rate (other than original transaction date) on which amount is expressed as amountRestatedAmount or amountTriangulationAmount,換算レート日付,（原取引の日付ではなく）、amountRestatedAmountまたはamountTriangulationAmountが示された換算レートの日付。
232,2,Attribute,,muc,Multicurrency,Multicurrency Foreign Currency Amount,,Monetary,,,0..1,The amount in the foreign currency identified by amountRestatedCurrency as of multicurrencyDetailExchangeRateDate.,換算額,amountRestatedCurrencyで指定された外貨での、multicurrencyDetailExchangeRateDate時点の、換算額。
233,2,Attribute,,muc,Multicurrency,Multicurrency Foreign Currency,,QName,,,0..1,The currency in which amountRestatedAmount is expressed. Recommended ISO 4217 coding.,換算通貨,amountRestatedAmountで使用される通貨。ISO4217コードを推奨。
234,2,Attribute,,muc,Multicurrency,Multicurrency Exchange Rate,,Pure,,,0..1,Exchange rate used to convert amountRestatedAmount as of multicurrencyDetailExchangeRateDate (expressed as national currency divided by foreign currency),換算レート,amountRestatedAmountの算出に用いられた、multicurrencyDetailExchangeRateDate時点の換算レート。（自国通貨を外貨通貨で割った値）
235,2,Attribute,,muc,Multicurrency,Multicurrency Exchange Rate Source,,String,,,0..1,"Source of Exchange Rate for restated amount - for example, Reuters, Bloomberg",換算レート情報源,"外貨換算額の換算レートの情報源。たとえば、Reuters, Bloomberg。"
236,2,Attribute,,muc,Multicurrency,Multicurrency Exchange Rate Type,,String,,,0..1,"Type of Exchange Rate for restated amount - for example, spot rate, forward contract etc.",換算レート種別,外貨換算額の換算レートの種別。たとえば、スポット・レート、先物など。
237,2,Attribute,,muc,Multicurrency,Multicurrency Triangulation Currency Amount,,Monetary,,,0..1,The amount in the triangulation currency identified by amountTriangulationCurrency as of multicurrencyDetailExchangeRateDate.,トライアンギュレーション通貨換算額,amountTriangulationCurrencyで指定されたトライアンギュレーション通貨での、multicurrencyDetailExchangeRateDate時点の換算額。
238,2,Attribute,,muc,Multicurrency,Multicurrency Triangulation Currency,,QName,,,0..1,The currency used for tringulation between amountRestatedCurrency and the home currency. Recommended ISO 4217 coding.,トライアンギュレーション通貨,amountRestatedCurrencyと自国通貨間のトライアンギュレーション取引で使用される通貨。ISO4217コードを推奨。
239,2,Attribute,,muc,Multicurrency,Multicurrency Triangulation Exchange Rate,,Pure,,,0..1,Exchange rate used to convert amountTriangulationAmount as of multicurrencyDetailExchangeRateDate (expressed as national currency divided by triangulation currency),トライアンギュレーション通貨換算レート,amountTriangulationAmountの算出に用いられた、multicurrencyDetailExchangeRateDate時点の換算レート。（自国通貨をトライアンギュレーション通貨で割った値）
240,2,Attribute,,muc,Multicurrency,Multicurrency Triangulation Exchange Rate Source,,String,,,0..1,"Source of Exchange Rate for triangulation amount - for example, Reuters, Bloomberg",トライアンギュレーション通貨換算レート情報源,"トライアンギュレーション通貨換算額の換算レートの情報源。たとえば、Reuters, Bloomberg。"
241,2,Attribute,,muc,Multicurrency,Multicurrency Triangulation Exchange Rate Type,,String,,,0..1,"Type of Exchange Rate for triangulation amount - for example, spot rate, forward contract etc.",トライアンギュレーション通貨換算レート種別,トライアンギュレーション通貨換算額の換算レートの種別。たとえば、スポット・レート、先物など。
242,2,Attribute,,muc,Multicurrency,Multicurrency Cross Triangulation Exchange Rate,,Pure,,,0..1,Exchange rate used to convert from amountRestatedAmount to amountTriangulationAmount as of multicurrencyDetailExchangeRateDate (expressed as foreign currency divided by triangulation currency),換算通貨トライアンギュレーション通貨換算レート,amountRestatedAmountからamountTriangulationAmountへの、multicurrencyDetailExchangeRateDate時点の換算レート。（外貨通貨をトライアンギュレーション通貨で割った値）
243,2,Attribute,,muc,Multicurrency,Multicurrency Cross Triangulation Exchange Rate Source,,String,,,0..1,"Source of Exchange Rate for converting between foreign currency and triangulation currency - for example, Reuters, Bloomberg",換算通貨トライアンギュレーション通貨換算レート情報源,"外貨通貨とトライアンギュレーション通貨の間の換算レートの情報源。たとえば、Reuters, Bloomberg。"
244,2,Attribute,,muc,Multicurrency,Multicurrency Cross Triangulation Exchange Rate Type,,String,,,0..1,"Type of Exchange Rate for converting between foreign currency and triangulation currency - for example, spot rate, forward contract etc.",換算通貨トライアンギュレーション通貨換算レート種別,外貨通貨とトライアンギュレーション通貨の間の換算レートの種別。たとえば、スポット・レート、先物など。
245,2,Attribute,,muc,Multicurrency,Multicurrency Comment,,String,,,0..1,Comment describing the enclosing multicurrencyDetail class's contents. May include reason for recording additional exchange rates other than that used at the time of the original transaction.,多通貨明細コメント,multicurrencyDetailの内容のコメント。原取引時以外の、追加の換算レートを記録する理由などを記述。
246,1,Class,,muc,Detail_ Multicurrency,,,,,,0..*,Class to provide additional information related to home currencies that differ from original currencies and related exchange rates - typically this will be used to record exchange rates and amounts in currencies and/or on dates other than those of the original transaction. This class allows recording of exchange rates using a third currency as a triangulation currency. This is often EUR but is not restricted to being so. This class may be repeated as many times as necessary to record amounts in foreign currencies on the same or different dates.,【多通貨明細】,"原取引時の通貨と異なる、自国通貨と換算レートに関する追加情報のセクション。－現在および原取引時の、換算レートおよび金額の記録に使用される。_x000D_
トライアンギュレーション通貨としての第三通貨の換算レートを記録できる。EURの場合が多いがそれに限らない。この構造は、同日または異なる日の外貨での金額を記録する必要がある限り、繰り返し指定可能。"
247,2,Specialization,,muc,Detail_ Multicurrency,,,,muc,Multicurrency,1,,,
248,1,Abstract Class,,cor,XBRL,,,,,,0..*,This will roll up to XBRL reporting information - this is a parent - repeatable so that the same item can be reported through many taxonomies. Care should be taken to consider what happens if people post to the same account but different XBRL elements.,【XBRL情報】,XBRLレポート情報へのロールアップ情報。親タグであり、同じ項目が複数のタクソノミを通じて報告されうるように繰り返し可能。同一の勘定科目を異なるXBRL要素に転記した場合にどうなるか、注意深く考慮すべきである。
249,2,Attribute,,cor,XBRL,XBRL Allocation,,Token,,,0..1,"Indicates that the information being given is beginning_balance, ending_balance, period_change.",XBRL割当,"与えられた情報が、期首残高、期末残高、期中増減のいずれであるかを示す。_x000D_
[設定値のリスト]_x000D_
(beginning_balance：期首残高)、(ending_balance：期末残高)、(period_change：期中増減)"
250,2,Attribute,,cor,XBRL,XBRL Summary Reporting Element,,QName,,,0..1,Associated XBRL element or XML element within an XML taxonomy - mapping to an XBRL concept.,集約報告エレメント,関係付けられた、XMLタクソノミ中のXBRL要素または、XML要素。XBRLコンセプトへのマッピング。
251,2,Attribute,,cor,XBRL,XBRL Detail Matching Element,,QName,,,0..1,Associated XBRL element in XBRL-GL instance.,明細対応エレメント,関係付けられた、XBRL-GLインスタンス中のXBRL要素。
252,2,Attribute,,cor,XBRL,XBRL Summary Tuple Path,,String,,,0..1,Specific filter for parent class class. This value must be valid XPath. And the result of the XPath must be resolved to a node.,集約タプルパス,親タグ構造を特定するフィルタ。妥当なXPath記述でなければならない。XPathの結果はノードでなければならない。
